Team,Goals,Shots on target,Shots off target,Yellow Cards,Red Cards
Spain,12,42,33,11,0
Italy,6,34,45,16,0
Germany,10,32,32,10,1
Portugal,6,22,42,12,0
France,3,22,24,6,0
England,5,15,22,5,0
Greece,5,8,18,9,1
Russia,5,9,31,6,0
